vm2; 
0.9997883935424313;
0.9984416997657759;
0.9922469083931611;
0.9836280682225665;
1.0026613402659628;
0.9938629409251475;
0.9930549246591542;
0.9980825814253345;
0.9973194549518964;
0.9956585326273547;
0.9909002146165057;
1.0044120421756149;
0.9946260673985856;
0.9991599364466588;
0.9915735615048333;
1.0050853890639424;
0.9985763691434414;
0.9971398957816757;
0.9970501161965654;
0.9936384919623716;
1.0043671523830595;
0.9973194549518964;
0.9970052264040101;
0.9933691532070406;
0.9983070303881103;
0.9838974069778976;
0.9977683528774481;
0.9997883935424313;
0.9960625407603514;
1.0013146464893075;
1.0021675525478557;
0.9948954061539167;
0.9996537241647657;
0.9863214557758773;
1.0023471117180764;
1.0036040259096215;
1.004501821760725;
0.9933242634144853;
0.9985314793508863;
0.9993394956168795;
0.9925611369410473;
0.987757929137643;
0.9952096347018029;
1.0008208587712004;
1.0049058298937217;
0.9970501161965654;
0.9940425000953682;
0.9944465082283649;
0.9996537241647657;
0.9868601332865394;
0.9980376916327792;
1.0059382951224909;
1.008452123505581;
0.9926060267336025;
0.9951198551166925;
0.9971847855742308;
0.9981723610104448;
0.9939078307177027;
0.9971398957816757;
1.0020777729627455;
0.9980376916327792;
0.9935487123772613;
1.0027062300585179;
0.995972761175241;
0.9986212589359966;
0.988745504573857;
0.9997435037498761;
1.0027960096436284;
1.0005964098084246;
0.9913491125420575;
1.004501821760725;
0.9979928018402241;
1.00073107918609;
0.9958380917975754;
0.9984416997657759;
1.0062525236703772;
0.9975439039146723;
0.996960336611455;
0.9962869897231272;
0.9997883935424313;
0.9875334801748672;
0.9997883935424313;
1.0014493158669728;
1.0021675525478557;
0.9974092345370068;
0.9996537241647657;
0.993234483829375;
1.0006861893935348;
0.9859174476428807;
1.0021226627553006;
1.00324490756918;
0.9966012182710136;
0.9955238632496892;
0.9908104350313953;
0.9968705570263446;
0.9971398957816757;
0.9944016184358097;
1.0031102381915145;
1.0036489157021766;
0.9973643447444516;
0.9997883935424313;
0.9999230629200968;
0.9941771694730338;
0.9881619372706397;
0.9997883935424313;
1.003963144250063;
1.0010004179414211;
0.9933242634144853;
0.999474164994545;
0.994715846983696;
0.9964216591007928;
0.993728271547482;
1.0027960096436284;
1.0083174541279154;
0.9957932020050203;
0.9975439039146723;
0.9989354874838828;
1.0011799771116419;
0.9991599364466588;
0.9986212589359966;
1.0073298786917015;
1.008003225580029;
0.9973194549518964;
0.9964216591007928;
0.9928304756963784;
0.9946260673985856;
0.9819222561054697;
1.0080930051651396;
1.0050853890639424;
0.9979479120476689;
0.9936384919623716;
1.0007759689786453;
0.9969154468188998;
0.9961523203454618;
0.9970501161965654;
1.0036040259096215;
1.0071503195214808;
0.9951198551166925;
0.9973194549518964;
0.9951198551166925;
0.9944465082283649;
0.9903615371058435;
0.996466548893348;
1.0028857892287386;
1.0046364911383907;
1.0027960096436284;
0.9971398957816757;
0.995972761175241;
0.9963767693082376;
0.9830445009193491;
0.9996088343722106;
1.0030653483989593;
0.998486589558331;
0.9962420999305721;
0.998711038521107;
0.9981274712178896;
0.9996537241647657;
0.9884761658185259;
1.0003719608456485;
1.0065667522182633;
0.9966012182710136;
0.9952545244943581;
1.0004168506382038;
0.9997435037498761;
0.9973643447444516;
0.994715846983696;
1.0036040259096215;
1.0093050295641295;
0.9972745651593412;
0.9980376916327792;
0.996735887648679;
0.9955238632496892;
1.0033795769468457;
0.9907655452388401;
1.0037835850798422;
1.0103374947928985;
0.9930549246591542;
0.9978132426700034;
0.9957483122124651;
0.9973194549518964;
0.9873090312120912;
1.0000577322977624;
0.9998332833349864;
1.0006412996009797;
0.996960336611455;
0.9976336834997827;
0.9998332833349864;
0.9990701568615484;
0.998217250803;
1.007688997032143;
1.006432082840598;
0.9992048262392139;
1.0002372914679831;
0.9949851857390271;
0.9966012182710136;
0.987982378100419;
0.9993394956168795;
1.0090356908087983;
0.9991599364466588;
0.99570342241991;
0.995972761175241;
1.002751119851073;
1.0031551279840698;
0.9943118388506993;
1.0028857892287386;
1.0067912011810394;
0.9963767693082376;
0.9937731613400371;
0.9966909978561239;
0.9991599364466588;
0.9895535208398503;
0.9959278713826858;
1.0048160503086114;
1.0004168506382038;
0.9970501161965654;
1.0008208587712004;
0.9923815777708266;
0.9981274712178896;
0.9851094313768874;
0.9930549246591542;
1.0003270710530934;
1.0046813809309458;
0.9981723610104448;
1.0007759689786453;
0.9931447042442646;
0.9960625407603514;
0.9843463049034493;
0.9957932020050203;
0.9971847855742308;
1.00324490756918;
0.9893290718770743;
0.9988905976913277;
0.9938180511325924;
0.9939527205102578;
0.9841218559406735;
1.0021226627553006;
1.0028408994361835;
1.002751119851073;
0.9944465082283649;
0.9965563284784583;
0.9910348839941712;
0.9956136428347996;
0.9886108351961914;
0.9980376916327792;
0.9968256672337894;
1.0058485155373806;
0.9928304756963784;
0.9961972101380169;
1.0001475118828727;
0.9995190547871002;
0.9858725578503255;
1.0003270710530934;
0.9985763691434414;
1.003738695287287;
0.9940873898879234;
0.9972745651593412;
0.9947607367762511;
0.9989354874838828;
0.9810693500469212;
0.9972745651593412;
0.9993843854094346;
0.9990701568615484;
0.9972296753667861;
1.0041875932128388;
0.999967952712652;
0.999474164994545;
0.9878028189301983;
0.9961972101380169;
1.0021226627553006;
0.9956136428347996;
0.9985314793508863;
1.002436891303187;
0.9940873898879234;
1.000012842505207;
0.9961972101380169;
1.0076441072395876;
1.0096192581120156;
0.9980825814253345;
0.9981274712178896;
0.9975887937072274;
0.9992946058243243;
0.9960625407603514;
0.9957483122124651;
1.0048160503086114;
1.0033795769468457;
0.9989803772764381;
0.9993843854094346;
0.994715846983696;
0.998486589558331;
0.9920224594303851;
0.9961074305529065;
1.0040529238351734;
1.0073747684842567;
0.9970501161965654;
0.9994292752019899;
0.9950749653241374;
0.9943118388506993;
0.983987186563008;
1.0009106383563107;
1.0019431035850799;
1.006432082840598;
0.9952096347018029;
0.992740696111268;
0.9983968099732207;
0.9966461080635687;
0.991483781919723;
0.9965114386859032;
0.9980825814253345;
1.004008034042618;
0.9966909978561239;
0.9939078307177027;
0.9993843854094346;
1.0008657485637555;
0.9896433004249606;
0.9933691532070406;
1.0046364911383907;
1.003738695287287;
0.9925611369410473;
0.9977683528774481;
0.9961972101380169;
0.9953891938720236;
0.9992946058243243;
0.9979030222551137;
1.0053996176118287;
1.0050853890639424;
0.996735887648679;
0.998486589558331;
0.9948954061539167;
0.9945362878134753;
0.9953443040794685;
0.9942220592655889;
1.0031551279840698;
1.007240099106591;
0.9934140429995957;
0.9966909978561239;
0.9952994142869133;
0.9962869897231272;
1.0003719608456485;
0.9986661487285518;
1.000506630223314;
1.00566895636716;
0.9975439039146723;
0.998486589558331;
0.9957483122124651;
0.9925611369410473;
0.9927855859038233;
0.9988905976913277;
1.0013595362818626;
0.9949402959464718;
0.9970052264040101;
1.003738695287287;
0.9971847855742308;
0.9951647449092478;
0.989508631047295;
1.0018084342074143;
1.009978376452457;
1.000461740430759;
0.9993394956168795;
0.9964216591007928;
0.9973643447444516;
0.9968705570263446;
1.0003719608456485;
1.0011350873190867;
1.0014044260744177;
0.996466548893348;
0.9999230629200968;
0.9960176509677962;
0.995972761175241;
0.9889699535366329;
0.9973643447444516;
1.0021675525478557;
1.0013595362818626;
0.9909451044090608;
0.995478973457134;
0.9996537241647657;
0.9991150466541036;
0.9967807774412343;
0.9997435037498761;
1.0115944089844435;
0.9970950059891205;
0.9951198551166925;
1.00073107918609;
0.9971847855742308;
0.9787350808340519;
0.9950749653241374;
0.9989354874838828;
1.0027062300585179;
0.9973194549518964;
1.000955528148866;
0.9921122390154955;
0.9997435037498761;
0.988745504573857;
1.0052649482341631;
1.0065667522182633;
0.9926509165261577;
0.9890148433291881;
0.9940425000953682;
0.9966012182710136;
0.9992048262392139;
0.9930998144517095;
1.001673764829749;
1.0045467115532802;
0.9945811776060304;
0.9981274712178896;
0.9955687530422443;
0.996735887648679;
0.9876681495525327;
0.9963767693082376;
1.0016288750371936;
1.0015839852446384;
0.9915735615048333;
0.9992048262392139;
0.9955687530422443;
0.9989354874838828;
0.9983519201806655;
1.000955528148866;
1.0051751686490529;
0.9989803772764381;
0.9930549246591542;
0.9966909978561239;
0.9956136428347996;
0.9961074305529065;
0.9976336834997827;
1.003963144250063;
1.0018084342074143;
0.9972296753667861;
1.001718654622304;
0.9934140429995957;
0.9991150466541036;
0.9846605334513356;
1.0011350873190867;
1.0053996176118287;
