cm4; 
49.83818051815429;
50.05564476463139;
50.07304190434956;
50.09913761392681;
49.99127534767417;
50.13132232240541;
49.94691264139283;
49.99910406054733;
49.74771539161981;
50.02259019916687;
50.068692619420005;
49.91907721784376;
49.964309781111;
49.89211165128061;
50.09913761392681;
50.064343334490474;
50.00867248739233;
49.95648106823783;
49.84513937404156;
49.973878207956;
49.95735092522373;
49.87384465457652;
49.93821407153374;
49.939083928519665;
49.88602265237924;
49.90776907702696;
49.843399660069736;
49.9843164917869;
50.039987338885034;
49.90950879099878;
49.779900100098416;
49.94430307043511;
50.079130903250906;
50.149589319109495;
50.085219902152275;
50.00780263040642;
50.06521319147637;
49.91733750387194;
49.959960496181466;
49.83818051815429;
49.83905037514019;
49.91298821894241;
49.932125072632395;
50.086089759138176;
50.013891629307786;
49.9530016402942;
49.88080351046379;
49.98953563370235;
50.06695290544819;
49.95561121125191;
50.03563805395549;
49.976487778913715;
49.912118361956495;
49.96083035316736;
49.915597789900126;
50.02954905505413;
49.976487778913715;
49.914727932914225;
49.94082364249148;
50.057384478603204;
49.925166216745126;
50.01128205835005;
50.10435675584226;
49.82165323542202;
50.10000747091271;
50.05216533668776;
50.238314731672155;
50.03302848299777;
50.013891629307786;
50.05999404956092;
49.93734421454785;
50.003453345476885;
49.83122166226702;
50.10174718488452;
50.03911748189912;
50.105226612828154;
50.085219902152275;
50.22700659085533;
49.966049495082814;
50.01911077122323;
49.973878207956;
49.93038535866058;
49.88950208032287;
49.976487778913715;
50.11479503967316;
50.10696632679998;
49.94604278440693;
49.88254322443561;
49.87645422553426;
50.039987338885034;
49.894721222238324;
50.140020892264495;
49.97126863699826;
50.04868590874412;
50.050425622715935;
50.04520648080049;
49.93473464359011;
50.02172034218095;
49.966049495082814;
50.06695290544819;
49.884282938407424;
49.96865906604055;
50.160027602940396;
50.013891629307786;
50.024329913138686;
50.03563805395549;
49.8094752376193;
50.08782947310999;
49.964309781111;
49.96865906604055;
50.08435004516635;
49.85818722883017;
49.98083706384327;
49.94517292742101;
49.87210494060471;
49.86949536964699;
49.97909734987145;
50.105226612828154;
50.01302177232186;
49.92342650277331;
49.95735092522373;
50.051295479701835;
49.97822749288553;
49.88602265237924;
50.03911748189912;
49.942563356463296;
49.75032496257753;
50.01911077122323;
49.986056205758715;
50.09739789995499;
49.93386478660421;
49.95474135426601;
50.09913761392681;
49.94778249837875;
49.9434332134492;
50.04346676682867;
50.00780263040642;
49.796427382830686;
49.9538714972801;
50.031288769025956;
