cm4; 
500.04005708280243;
497.8064487522029;
498.06895529827347;
493.4313396510288;
500.72625840498654;
494.00240652318206;
497.00511297998787;
498.0551391642697;
495.1629617794935;
495.03861657346016;
501.25127149712745;
494.780715405391;
505.28558262621016;
496.4478622418384;
503.59080352175533;
493.47278805303995;
498.0873768102784;
495.4669167275751;
498.6123899024193;
502.87236455356253;
500.08150548481353;
498.3268564663427;
494.46294432330563;
491.92998642262586;
499.90650112076656;
497.34130557407815;
503.62764654576523;
495.81692545566904;
503.5079067177331;
501.0440294870719;
508.1685492549839;
499.37688265062445;
506.04086461841285;
497.6636820341647;
492.71750606083725;
498.939371740507;
498.6492329264292;
499.3999095406306;
498.36830486835373;
497.67289279016717;
499.4091202966331;
499.699259110711;
504.04673594387776;
497.37814859808805;
501.44930275118065;
499.1005599705503;
496.86234626194965;
503.7105433497875;
497.06037751600275;
498.26698655232656;
502.16774171937345;
495.72481789564426;
496.4524676198396;
496.9912968459842;
498.28080268633033;
496.98669146798295;
496.968269955978;
497.5301260721288;
501.7578630772634;
496.4847052658483;
501.4631188851843;
494.274123825255;
499.5979407946838;
497.9492154702413;
502.29669230340807;
507.6527469188454;
501.6979931632474;
498.547914610402;
500.9887649510571;
501.61049098122385;
502.4670912894537;
497.07879902800767;
497.37814859808805;
495.73863402964804;
497.38275397608925;
500.3762496768926;
494.82216380740203;
503.87633695783194;
510.8074308496922;
497.0880097840101;
501.2650876311312;
502.4118267534389;
502.22300625538827;
498.4834393183847;
501.7072039192499;
506.50140241853643;
493.15041159295345;
502.7894677495403;
494.4721550793081;
498.98082014251816;
498.3452779783476;
502.9368398455798;
507.9981502689382;
504.7191211320582;
499.855841962753;
503.7934401538097;
502.7111763235193;
500.3762496768926;
509.67450786138807;
500.8736305010261;
504.99544381213235;
502.9460506015823;
492.869483534878;
492.8879050468829;
500.9887649510571;
500.8137605870101;
501.79010072327213;
502.4164321314402;
492.0773585186654;
499.7130752447146;
495.57284042160353;
500.91047352503597;
500.45914648091485;
496.57220744787173;
498.7367351084526;
500.072294728811;
502.01115886733146;
498.18869512630556;
500.4545411029137;
500.090716240816;
497.7926326181993;
502.2506385233957;
497.064982894004;
497.7696057281931;
492.4089457347544;
493.7537161111153;
487.53645580944675;
500.92428965903974;
498.56633612240694;
500.79994445300633;
497.43801851210407;
494.62413255334894;
493.5372633450573;
507.5606393588207;
503.0980280756231;
502.25984927939817;
491.37273568447637;
500.58349168694826;
496.6090504718816;
504.13423812590116;
500.0492678388049;
498.57094150040814;
503.7105433497875;
499.74531289072337;
494.07148719320065;
503.4019830237047;
500.3486174088852;
497.9906638722524;
495.47152210557635;
492.80961362086197;
501.8315491252832;
496.8347139939422;
496.1300911597531;
496.3511493038124;
497.083404406009;
497.0281398699941;
498.92555560650334;
504.6454350840384;
498.879501826491;
502.6420956535007;
503.0750011856169;
499.6347838186937;
499.77294515873075;
493.629370905082;
500.8091552090088;
493.9839850111771;
500.53283252893465;
506.1744205804488;
501.32495754514724;
503.64146267976895;
495.34717689954294;
494.89584985542183;
504.67306735204585;
504.2631887099358;
501.79010072327213;
493.201070750967;
499.0038470325243;
499.6532053306986;
496.94524306597185;
497.5669690961387;
507.62511465083804;
500.82297134301257;
491.59839920653684;
506.317187298487;
