cm3; 
203.26561688336858;
195.48580357989184;
204.7205670783011;
196.7044402081315;
188.96632929877697;
200.85614522297078;
197.94161123375883;
204.6232614920158;
200.97661880599068;
205.95310450458152;
199.14634706395773;
196.9314865761305;
200.5688620634618;
202.12111784467962;
204.70203268091342;
198.71078872534736;
193.4840886620229;
195.0039092478123;
199.3131566404468;
203.13587610165484;
200.38815168893197;
197.55702248796456;
196.95928817221204;
204.33597833250684;
200.04526533726;
201.7457962975792;
203.64557202981592;
201.1758635779082;
206.91689316874064;
198.83126230836726;
198.60421594036822;
202.13501864272038;
198.92856789465253;
195.03634444324072;
207.8714146342059;
202.20452263292415;
203.66874002655052;
201.643857111947;
200.72640444125705;
201.300970760275;
189.08680288179687;
207.56096347796236;
198.68762072861276;
203.6872744239382;
196.94075377482437;
196.4588594427448;
200.97661880599068;
199.13244626591697;
196.19011068062352;
201.33803955505033;
196.2318130747458;
194.46177812422277;
198.90539989791796;
201.92650667210904;
202.51497378916773;
205.31830139405363;
201.3241387570096;
202.19062183488342;
199.44289742216054;
194.08182297777543;
203.09417370753258;
201.56508592304937;
193.29411108879924;
200.60593085823717;
198.32156638020618;
197.3902129114755;
202.30182821920945;
200.05453253595383;
203.31658647618468;
197.36241131539398;
206.40719724057956;
204.73910147568878;
203.40925846312305;
196.57469942641777;
193.18290470447317;
201.86163628125217;
197.7887024553105;
200.77274043472624;
199.0629422757132;
198.103787210901;
199.32705743848757;
200.53179326868647;
199.62360779669038;
199.1417134646108;
206.2450212634374;
201.9682090662313;
193.22924069794237;
191.23679297876726;
194.1698613653669;
199.22975185220227;
201.9172394734152;
205.4387749770735;
206.02724209413222;
200.75420603733858;
202.13501864272038;
205.1607590162584;
196.22717947539886;
194.88806926413932;
198.83589590771416;
202.36669861006632;
203.298052078797;
199.50313421367048;
202.10721704663888;
201.26853556484656;
200.7171372425632;
195.40703239099423;
201.74116269823227;
199.54020300844584;
200.23524291048366;
201.50484913153943;
203.52973204614295;
199.44289742216054;
204.75300227372952;
200.3186476987282;
201.21293237268353;
194.71662608830331;
200.37425089089123;
204.1089319645078;
196.1854770812766;
199.0907438717947;
199.83211976730172;
198.63665113579665;
193.67406623524658;
201.300970760275;
198.50691035408292;
197.46898410037312;
197.8813744422489;
200.7403052392978;
196.90831857939594;
198.21499359522704;
197.84430564747353;
199.84602056534249;
199.02587348093783;
199.1648814613454;
198.75712471881656;
197.07049455653808;
201.81066668843607;
200.50862527195187;
202.22769062965875;
203.6872744239382;
198.67835352991892;
195.0270772445469;
195.0317108438938;
193.58602784765512;
201.19439797529586;
199.96186054901546;
200.01283014183156;
203.01540251863497;
196.94538737417128;
201.87553707929294;
205.77702772939858;
201.9682090662313;
203.91432079193723;
205.0634534299731;
200.80054203080775;
198.54397914885828;
195.40703239099423;
197.84893924682046;
196.81564659245754;
198.40960476779765;
198.70615512600045;
201.88017067863984;
195.58310916617714;
200.1194029268107;
200.2908461026467;
191.3433657637464;
200.6383660536656;
194.73979408503791;
200.47619007652344;
194.45251092552894;
196.86198258592674;
205.42024057968584;
198.51617755277675;
197.1724337421703;
200.16110532093296;
203.21928088989938;
201.26853556484656;
198.73395672208196;
191.3155641676649;
195.6943155505032;
195.1799860229952;
204.49815430964898;
198.9378350933464;
199.77188297579178;
202.64008097153453;
197.25583853041485;
196.00940030609368;
197.4643505010262;
202.41303460353552;
202.16282023880188;
198.82662870902033;
200.88858041839921;
205.57314935813417;
199.83211976730172;
197.6404272762091;
193.55359265222668;
207.53316188188083;
195.3745971955658;
198.1825583997986;
201.22219957137736;
200.05916613530073;
199.28072144501837;
200.4159532850135;
198.6922543279597;
199.79968457187329;
203.00613531994114;
208.67302732122286;
205.57314935813417;
202.64934817022836;
198.90539989791796;
197.42728170625085;
197.32070892127172;
203.43242645985765;
197.27437292780252;
204.4054823227106;
194.1698613653669;
199.78115017448562;
197.85357284616737;
197.47361769972002;
200.42985408305424;
196.44495864470403;
198.04355041939104;
202.56130978263693;
198.53471195016445;
194.1744949647138;
201.14342838247975;
198.39570396975688;
200.15183812223913;
201.31487155831576;
195.04561164193456;
196.91758577808977;
201.9218730727621;
208.32550737020395;
205.32293499340054;
203.00613531994114;
206.23112046539663;
197.418014507557;
202.44083619961702;
198.88223190118336;
202.8300585447582;
203.52509844679605;
204.59082629658738;
195.41629958968807;
202.76055455455443;
203.69654162263203;
203.99772558018176;
200.48082367587037;
192.05230646382498;
199.3409582365283;
201.04612279619445;
194.63785489940568;
199.44753102150744;
198.97490388812173;
202.35279781202556;
199.45216462085438;
202.71885216043216;
196.34301945907183;
202.8254249454113;
201.83383468517067;
203.8077480069581;
200.1194029268107;
191.8113592977852;
190.4120122950157;
200.82834362688928;
198.618116738409;
200.87467962035845;
196.07427069695055;
201.0322219981537;
198.7941935135919;
203.31195287683778;
196.40325625058176;
206.57864041641557;
201.6206891152124;
197.13999854674188;
198.46057436061375;
197.8118704520451;
194.1188917725508;
202.63544737218763;
199.4382638228136;
206.5647396183748;
196.49129463817323;
195.45800198381033;
197.79796965400433;
198.09452001220714;
198.50691035408292;
200.2445101091775;
202.26475942443412;
203.8077480069581;
194.37837333597824;
202.03307945708818;
191.0004794120744;
199.75798217775102;
200.48082367587037;
201.1758635779082;
200.99051960403142;
204.78080386981105;
200.57812926215564;
206.37476204515113;
203.69190802328512;
199.71627978362875;
205.90676851111232;
203.2748840820624;
199.20195025612077;
194.90197006218006;
196.6812722113969;
196.64883701596847;
202.8810281375743;
199.4614318195482;
207.31074911322872;
202.00527786100665;
204.34987913054758;
194.98537485042462;
199.32705743848757;
203.45559445659225;
197.28364012649635;
206.76861798963924;
199.4845998162828;
198.0342832206972;
197.92307683637117;
200.6939692458286;
195.44410118576957;
201.6948267047631;
199.4892334156297;
197.74700006118823;
202.3805994081071;
200.38351808958507;
193.63699744047122;
197.76553445857593;
199.18804945808;
203.7104424206728;
200.7125036432163;
205.94383730588768;
197.1029297519665;
201.51874992958017;
199.86918856207706;
194.33203734250904;
198.60884953971515;
203.756778414142;
195.91209471980838;
197.67286247163753;
205.51754616597114;
203.89578639454953;
197.42728170625085;
194.97147405238385;
201.1990315746428;
201.23146677007122;
209.35416642521994;
204.46571911422058;
201.31950515766266;
198.47910875800142;
201.95894186753748;
203.21928088989938;
200.35571649350354;
202.99223452190037;
202.9041961343089;
201.94040747014978;
196.62566901923387;
204.59545989593428;
203.50193045006145;
199.7765165751387;
195.36069639752503;
201.0785579916229;
195.2309556158113;
201.76433069496687;
188.25738859869838;
208.4089121584485;
198.43740636387915;
204.41011592205754;
199.40582862738518;
195.7730867394008;
201.81066668843607;
196.64883701596847;
202.9968681212473;
196.04646910086902;
201.870903479946;
204.76226947242336;
196.47739384013246;
198.36326877432845;
194.23009815687683;
198.78029271555116;
200.1981741157083;
200.93028281252148;
202.8810281375743;
207.56096347796236;
198.60884953971515;
199.27145424632454;
201.86626988059908;
