cm4; 
20.07254431735472;
19.884655208398502;
20.058626605580184;
20.02731175408748;
19.998606473552503;
20.06645531845336;
19.987298332735694;
19.812457078568105;
20.0499280357211;
19.923798772764382;
20.056886891608368;
19.937716484538917;
20.13169459239649;
19.964682051102077;
20.117776880621957;
19.986428475749786;
20.012524185327038;
20.009044757383407;
20.04383903681974;
20.002085901496137;
20.009914614369315;
20.021222755186123;
20.073414174340627;
19.928148057693924;
20.16474915786101;
20.039489751890198;
20.056886891608368;
20.002085901496137;
20.06558546146745;
19.965551908087985;
19.942935626454368;
19.948154768369818;
20.048188321749283;
20.053407463664733;
20.124735736509223;
20.07254431735472;
20.129954878424673;
20.041229465862017;
19.964682051102077;
19.98555861876388;
19.920319344820747;
20.034270609974747;
19.989038046707513;
20.063845747495634;
19.989038046707513;
19.9568533382289;
20.13082473541058;
20.008174900397496;
20.00121604451023;
20.107338596791056;
20.032530896002932;
20.005565329439772;
20.030791182031116;
19.84812121499035;
19.86551835470852;
19.973380620961162;
19.97251076397525;
19.921189201806655;
20.151701303072382;
19.852470499919892;
19.99077776067933;
19.875086781553513;
20.013394042312946;
20.069064889411084;
20.07167446036881;
20.150831446086475;
20.074284031326535;
20.039489751890198;
19.91336048893348;
20.005565329439772;
19.890744207299864;
19.991647617665237;
19.965551908087985;
19.84812121499035;
19.928148057693924;
19.998606473552503;
19.998606473552503;
19.969901193017527;
20.114297452678322;
20.156920444987833;
19.975120334932978;
20.042969179833833;
20.073414174340627;
19.883785351412595;
20.002085901496137;
19.96207248014435;
20.116907023636045;
19.921189201806655;
20.18562572552281;
20.214331006057787;
20.042969179833833;
19.790710653920396;
19.90901120400394;
19.999476330538414;
19.98555861876388;
19.88204563744078;
20.167358728818733;
20.021222755186123;
20.08646202912925;
19.978599762876613;
19.84203221608899;
20.07602374529835;
20.166488871832826;
19.90814134701803;
20.12038645157968;
19.928148057693924;
19.93684662755301;
20.004695472453864;
20.069934746396992;
19.775923085159953;
19.9568533382289;
20.062975890509726;
